fips_code,state,county_name,total_votes,winning_party,unemployment_rate,year,poverty_rate,Percent_of_adults_with_less_than_a_high_school_diploma__2015_19,Percent_of_adults_with_a_high_school_diploma_only__2015_19,Percent_of_adults_completing_some_college_or_associate_s_degree__2015_19,Percent_of_adults_with_a_bachelor_s_degree_or_higher__2015_19
1001,ALABAMA,AUTAUGA,55540,REPUBLICAN,25838,2020,12.1,11.5,33.6,28.4,26.6
1003,ALABAMA,BALDWIN,219358,REPUBLICAN,96763,2020,10.1,9.2,27.7,31.3,31.9
1005,ALABAMA,BARBOUR,21036,REPUBLICAN,8587,2020,27.1,26.8,35.6,26,11.6
1007,ALABAMA,BIBB,19190,REPUBLICAN,8640,2020,20.3,20.9,44.9,23.8,10.4
1009,ALABAMA,BLOUNT,55176,REPUBLICAN,24661,2020,16.3,19.5,33.4,34,13.1
1011,ALABAMA,BULLOCK,9226,DEMOCRAT,4818,2020,30,25.3,40.3,22.3,12.1
1013,ALABAMA,BUTLER,18976,REPUBLICAN,9056,2020,21.6,15,45.2,23.7,16.1
1015,ALABAMA,CALHOUN,101966,REPUBLICAN,46240,2020,17.2,15.6,32.8,33.2,18.5
1017,ALABAMA,CHAMBERS,30568,REPUBLICAN,15865,2020,19.6,18.4,36.7,31.6,13.3
1019,ALABAMA,CHEROKEE,24602,REPUBLICAN,11513,2020,15.9,18.4,40.3,28.6,12.8
1021,ALABAMA,CHILTON,38620,REPUBLICAN,19592,2020,16,18.2,44.4,24.6,12.7
1023,ALABAMA,CHOCTAW,14928,REPUBLICAN,4621,2020,22.6,18.6,37.7,31.8,11.9
1025,ALABAMA,CLARKE,26270,REPUBLICAN,7769,2020,18.4,19.4,41.8,26.6,12.2
1027,ALABAMA,CLAY,13860,REPUBLICAN,6083,2020,16.6,23.3,37.8,28.3,10.6
1029,ALABAMA,CLEBURNE,14454,REPUBLICAN,5737,2020,13.3,21,38,25.6,15.4
1031,ALABAMA,COFFEE,44550,REPUBLICAN,21502,2020,15,14.1,27.2,35.9,22.8
1033,ALABAMA,COLBERT,55772,REPUBLICAN,23558,2020,14.6,14.8,37.8,29.2,18.1
1035,ALABAMA,CONECUH,12882,REPUBLICAN,4529,2020,22.2,15.7,51.1,20.4,12.8
1037,ALABAMA,COOSA,10958,REPUBLICAN,4392,2020,17.1,20,40.3,26.9,12.8
1039,ALABAMA,COVINGTON,34860,REPUBLICAN,15172,2020,17.2,16.6,37.3,30.8,15.3
1041,ALABAMA,CRENSHAW,13234,REPUBLICAN,6253,2020,16.8,20.8,39.5,22.3,17.4
1043,ALABAMA,CULLMAN,83702,REPUBLICAN,38310,2020,12.2,18.4,34.1,33.6,13.9
1045,ALABAMA,DALE,39476,REPUBLICAN,20710,2020,18.1,13.9,32.3,35.7,18.1
1047,ALABAMA,DALLAS,35728,DEMOCRAT,14619,2020,26,18.2,35.9,31.2,14.7
1049,ALABAMA,DEKALB,58712,REPUBLICAN,30736,2020,18.2,25.2,34.2,27.6,13
1051,ALABAMA,ELMORE,82060,REPUBLICAN,36620,2020,11.4,13.4,32.5,29.1,25.1
1053,ALABAMA,ESCAMBIA,31820,REPUBLICAN,14453,2020,20.5,18.9,43.7,24.9,12.5
1055,ALABAMA,ETOWAH,95456,REPUBLICAN,40724,2020,18.8,15.4,32.9,33.9,17.8
1057,ALABAMA,FAYETTE,17532,REPUBLICAN,6562,2020,17,17.4,41.3,28.9,12.4
1059,ALABAMA,FRANKLIN,25156,REPUBLICAN,14424,2020,16.1,22.8,36.6,26.6,14
1061,ALABAMA,GENEVA,25090,REPUBLICAN,10835,2020,16.1,19.7,36,31.8,12.5
1063,ALABAMA,GREENE,9550,DEMOCRAT,3015,2020,31.7,20.8,38.6,30.5,10.1
1065,ALABAMA,HALE,15800,DEMOCRAT,6075,2020,20.5,16,43.4,26.4,14.2
1067,ALABAMA,HENRY,18596,REPUBLICAN,6814,2020,17.2,20.6,32.6,29.8,17.1
1069,ALABAMA,HOUSTON,92346,REPUBLICAN,46358,2020,19.4,14,31.2,33.1,21.7
1071,ALABAMA,JACKSON,47272,REPUBLICAN,22840,2020,14.7,16.8,41,28.2,14
1073,ALABAMA,JEFFERSON,651696,DEMOCRAT,315957,2020,16.2,9.9,26.4,30.3,33.4
1075,ALABAMA,LAMAR,14386,REPUBLICAN,5730,2020,15.3,17.7,39.8,30.6,11.9
1077,ALABAMA,LAUDERDALE,88678,REPUBLICAN,41931,2020,15.7,12.6,36,27.9,23.5
1079,ALABAMA,LAWRENCE,32062,REPUBLICAN,14363,2020,17.7,20.7,41.2,25.5,12.6
1081,ALABAMA,LEE,142898,REPUBLICAN,75564,2020,15.5,9.1,23.7,31.8,35.3
1083,ALABAMA,LIMESTONE,98470,REPUBLICAN,44624,2020,12,15.3,30.4,28.6,25.7
1085,ALABAMA,LOWNDES,13670,DEMOCRAT,3661,2020,26.6,21.7,39.6,24,14.7
1087,ALABAMA,MACON,17446,DEMOCRAT,8063,2020,29.3,18.2,30.2,31.2,20.4
1089,ALABAMA,MADISON,389534,REPUBLICAN,187247,2020,11.5,8.3,20.6,28.3,42.8
1091,ALABAMA,MARENGO,21800,DEMOCRAT,7766,2020,24.8,16.2,38,29.8,16.1
1093,ALABAMA,MARION,27614,REPUBLICAN,13034,2020,16.9,20.4,34.8,32,12.8
1095,ALABAMA,MARSHALL,79310,REPUBLICAN,44275,2020,15.7,18.4,31.1,31.1,19.4
1097,ALABAMA,MOBILE,366328,REPUBLICAN,190882,2020,17.7,13.5,34,29.3,23.2
1099,ALABAMA,MONROE,21336,REPUBLICAN,7474,2020,23.3,14.4,47.2,24.9,13.5
1101,ALABAMA,MONTGOMERY,198278,DEMOCRAT,107103,2020,15.8,13.3,25,28.4,33.4
1103,ALABAMA,MORGAN,107444,REPUBLICAN,58899,2020,13.7,15.9,30.4,31.3,22.4
1105,ALABAMA,PERRY,10460,DEMOCRAT,3437,2020,33.9,17.2,36.9,23.1,22.8
1107,ALABAMA,PICKENS,19336,REPUBLICAN,7660,2020,24.3,18.5,37.2,30.2,14.1
1109,ALABAMA,PIKE,27682,REPUBLICAN,15636,2020,21.8,15,35.7,25.5,23.7
1111,ALABAMA,RANDOLPH,21674,REPUBLICAN,9414,2020,17.5,20.4,34.9,28.2,16.5
1113,ALABAMA,RUSSELL,42658,DEMOCRAT,23500,2020,18.9,16.2,31.4,34.6,17.8
1115,ALABAMA,ST. CLAIR,88882,REPUBLICAN,40132,2020,11.2,15.4,35.6,32.9,16.1
1117,ALABAMA,SHELBY,229900,REPUBLICAN,114048,2020,6.2,7.3,19.8,29.9,42.9
1119,ALABAMA,SUMTER,12582,DEMOCRAT,4745,2020,36.4,13.3,35.4,29.8,21.6
1121,ALABAMA,TALLADEGA,71326,REPUBLICAN,36123,2020,17.4,19.7,33.7,31.6,15
1123,ALABAMA,TALLAPOOSA,41982,REPUBLICAN,17864,2020,16,19.3,32.7,29.5,18.4
1125,ALABAMA,TUSCALOOSA,180344,REPUBLICAN,102222,2020,16.2,11.7,29.9,27.7,30.7
1127,ALABAMA,WALKER,62340,REPUBLICAN,24877,2020,17.3,18.2,37.5,33,11.3
1129,ALABAMA,WASHINGTON,17752,REPUBLICAN,6729,2020,18.6,17.4,43.1,26.9,12.7
1131,ALABAMA,WILCOX,11806,DEMOCRAT,2871,2020,32.5,23.5,39.5,24.5,12.5
1133,ALABAMA,WINSTON,22568,REPUBLICAN,10017,2020,16.7,21.2,38.2,27.8,12.8
2013,ALASKA,DISTRICT 13,15426,REPUBLICAN,2523,2020,14.8,14.5,43.5,30.5,11.5
2016,ALASKA,DISTRICT 16,16236,DEMOCRAT,3732,2020,7.6,10.5,39,33.4,17
2020,ALASKA,DISTRICT 20,14994,DEMOCRAT,148392,2020,9.5,6.1,23.4,34.4,36.1
4001,ARIZONA,APACHE,211032,DEMOCRAT,20195,2020,33.4,19.6,32.2,35.9,12.3
4003,ARIZONA,COCHISE,362652,REPUBLICAN,51995,2020,16.6,12.6,24.1,40.2,23.1
4005,ARIZONA,COCONINO,439632,DEMOCRAT,75280,2020,15.9,9.5,22,32.3,36.2
4007,ARIZONA,GILA,165972,REPUBLICAN,21008,2020,21.1,13.7,27.9,39.7,18.7
4009,ARIZONA,GRAHAM,89970,REPUBLICAN,15919,2020,20.1,14.7,28.7,41.4,15.2
4011,ARIZONA,GREENLEE,22110,REPUBLICAN,4454,2020,9.3,11.9,34.7,39.8,13.5
4012,ARIZONA,LA PAZ,44748,REPUBLICAN,8979,2020,22.1,23.1,31.1,33.8,12
4013,ARIZONA,MARICOPA,12408864,DEMOCRAT,2331628,2020,12.2,12.3,22.4,32.6,32.7
4015,ARIZONA,MOHAVE,628008,REPUBLICAN,88743,2020,16,13.9,35.3,37.8,12.9
4017,ARIZONA,NAVAJO,310602,REPUBLICAN,40419,2020,25.2,16.6,30.3,37.8,15.3
4019,ARIZONA,PIMA,3122382,DEMOCRAT,495991,2020,14,11.6,22.2,33.8,32.4
4021,ARIZONA,PINAL,1109844,REPUBLICAN,191074,2020,12.1,14.2,29.3,37,19.5
4023,ARIZONA,SANTA CRUZ,117336,DEMOCRAT,19429,2020,18.8,23.4,28.7,27.5,20.4
4025,ARIZONA,YAVAPAI,859326,REPUBLICAN,106985,2020,12,9,25.8,39.3,25.9
4027,ARIZONA,YUMA,419286,REPUBLICAN,98120,2020,20.4,26.7,25.7,32.5,15
5001,ARKANSAS,ARKANSAS,50336,REPUBLICAN,9422,2020,15.8,16.1,38.9,29.2,15.8
5003,ARKANSAS,ASHLEY,63408,REPUBLICAN,7186,2020,18.5,16.7,43.7,27.3,12.3
5005,ARKANSAS,BAXTER,168056,REPUBLICAN,16528,2020,12.7,11.3,36.3,34.5,17.9
5007,ARKANSAS,BENTON,959296,REPUBLICAN,140015,2020,8.9,11.4,29.2,26.1,33.4
5009,ARKANSAS,BOONE,136912,REPUBLICAN,15764,2020,15.1,12.6,33.4,37.9,16.1
5011,ARKANSAS,BRADLEY,29232,REPUBLICAN,4386,2020,22.9,19,41.3,25.4,14.3
5013,ARKANSAS,CALHOUN,17456,REPUBLICAN,2426,2020,15.4,15.8,44.7,28.1,11.4
5015,ARKANSAS,CARROLL,94376,REPUBLICAN,12709,2020,14.7,13.7,35.9,29.1,21.2
5017,ARKANSAS,CHICOT,32824,DEMOCRAT,3250,2020,31,19.2,38.1,26.8,15.9
5019,ARKANSAS,CLARK,67160,REPUBLICAN,9314,2020,20.6,10,30.2,33.1,26.6
5021,ARKANSAS,CLAY,41464,REPUBLICAN,5519,2020,18.7,17.5,41.9,28,12.6
5023,ARKANSAS,CLEBURNE,101440,REPUBLICAN,9157,2020,14.1,14.1,42.8,27.6,15.5
5025,ARKANSAS,CLEVELAND,28800,REPUBLICAN,3203,2020,13.7,10.4,46.6,26.8,16.2
5027,ARKANSAS,COLUMBIA,68928,REPUBLICAN,9053,2020,21.2,14.1,41.7,24.5,19.6
5029,ARKANSAS,CONWAY,69480,REPUBLICAN,8392,2020,15.6,13,43.8,27.6,15.6
5031,ARKANSAS,CRAIGHEAD,308088,REPUBLICAN,55775,2020,16.9,10.7,34.6,28.5,26.2
5033,ARKANSAS,CRAWFORD,192728,REPUBLICAN,26436,2020,18.3,15,37.3,31.7,16
5035,ARKANSAS,CRITTENDEN,130936,DEMOCRAT,21209,2020,22.4,17.4,34.8,30.4,17.4
5037,ARKANSAS,CROSS,55536,REPUBLICAN,7291,2020,17.8,16.4,41.5,27.7,14.4
5039,ARKANSAS,DALLAS,21192,REPUBLICAN,2832,2020,18.8,16.1,44.1,28,11.9
5041,ARKANSAS,DESHA,33312,DEMOCRAT,5321,2020,25.4,18.9,44.6,22.4,14.1
5043,ARKANSAS,DREW,55264,REPUBLICAN,7730,2020,18.5,13.1,35.3,28.8,22.8
5045,ARKANSAS,FAULKNER,435424,REPUBLICAN,61682,2020,14.4,8.2,30.5,30.8,30.6
5047,ARKANSAS,FRANKLIN,57032,REPUBLICAN,7478,2020,16.2,16.3,41,30.6,12.1
5049,ARKANSAS,FULTON,40952,REPUBLICAN,4924,2020,17.7,14.4,35.8,37.5,12.2
5051,ARKANSAS,GARLAND,353592,REPUBLICAN,41347,2020,16.9,10.9,31.4,36,21.6
5053,ARKANSAS,GRANT,65600,REPUBLICAN,8222,2020,12.1,9.2,43.8,28.3,18.7
5055,ARKANSAS,GREENE,128800,REPUBLICAN,19450,2020,15.5,11.8,45.9,26.2,16.2
5057,ARKANSAS,HEMPSTEAD,54784,REPUBLICAN,9593,2020,18.5,17.4,36.8,30.7,15.1
5059,ARKANSAS,HOT SPRING,100456,REPUBLICAN,14100,2020,20.2,14.2,39,33.5,13.3
5061,ARKANSAS,HOWARD,38672,REPUBLICAN,5533,2020,16.8,14.8,38.4,33.3,13.6
5063,ARKANSAS,INDEPENDENCE,116096,REPUBLICAN,16670,2020,15.9,14,37.6,30.9,17.5
5065,ARKANSAS,IZARD,46480,REPUBLICAN,4640,2020,15.9,16.2,38,32.7,13.1
5067,ARKANSAS,JACKSON,40728,REPUBLICAN,5863,2020,22.9,19.8,42.5,27.5,10.1
5069,ARKANSAS,JEFFERSON,201264,DEMOCRAT,27398,2020,24.4,13.9,38.9,29.3,18
5071,ARKANSAS,JOHNSON,75984,REPUBLICAN,10120,2020,17.5,21.1,40.7,22.9,15.4
5073,ARKANSAS,LAFAYETTE,21432,REPUBLICAN,2421,2020,25.5,20.3,40.2,23.7,15.8
5075,ARKANSAS,LAWRENCE,46856,REPUBLICAN,6786,2020,18.4,15.9,38.6,30.1,15.4
5077,ARKANSAS,LEE,22784,DEMOCRAT,2805,2020,35.4,24.2,40.4,24.7,10.7
5079,ARKANSAS,LINCOLN,31000,REPUBLICAN,3834,2020,27.1,18.9,47.3,24.1,9.7
5081,ARKANSAS,LITTLE RIVER,41416,REPUBLICAN,5385,2020,17.8,11,44.7,31.8,12.5
5083,ARKANSAS,LOGAN,65800,REPUBLICAN,8656,2020,17.4,13.8,45.1,27.8,13.3
5085,ARKANSAS,LONOKE,245296,REPUBLICAN,33550,2020,10.7,10.9,36.7,31.8,20.6
5087,ARKANSAS,MADISON,58808,REPUBLICAN,7413,2020,16.4,19.4,43.9,22.6,14.2
5089,ARKANSAS,MARION,60024,REPUBLICAN,6251,2020,16.3,13.5,37.5,31.9,17.1
5091,ARKANSAS,MILLER,132232,REPUBLICAN,19379,2020,14.1,13.5,35.3,34.4,16.8
5093,ARKANSAS,MISSISSIPPI,98736,REPUBLICAN,17264,2020,23,18.9,38.8,28.5,13.8
5095,ARKANSAS,MONROE,22528,REPUBLICAN,2721,2020,25.5,21.1,41.3,24.9,12.7
5097,ARKANSAS,MONTGOMERY,30984,REPUBLICAN,2981,2020,19.9,20.2,36.4,29.9,13.5
5099,ARKANSAS,NEVADA,26864,REPUBLICAN,3550,2020,24.1,9.6,43,32.8,14.6
5101,ARKANSAS,NEWTON,31984,REPUBLICAN,3246,2020,18.1,13.5,35.4,30.6,20.5
5103,ARKANSAS,OUACHITA,77032,REPUBLICAN,9821,2020,17.3,14,41.6,30,14.5
5105,ARKANSAS,PERRY,37016,REPUBLICAN,4188,2020,16.5,15.2,41.7,30.5,12.7
5107,ARKANSAS,PHILLIPS,49936,DEMOCRAT,6402,2020,33.3,19.7,31.9,34.6,13.8
5109,ARKANSAS,PIKE,33968,REPUBLICAN,4272,2020,16.9,12.6,38.1,32,17.3
5111,ARKANSAS,POINSETT,60168,REPUBLICAN,9919,2020,23.1,19.7,43.1,26.2,11.1
5113,ARKANSAS,POLK,67920,REPUBLICAN,8013,2020,20.2,15.1,36.5,34.3,14.1
5115,ARKANSAS,POPE,195456,REPUBLICAN,27775,2020,16.9,15.5,35.2,26.5,22.8
5117,ARKANSAS,PRAIRIE,27960,REPUBLICAN,3608,2020,15,16.8,39.9,27.8,15.4
5119,ARKANSAS,PULASKI,1359648,DEMOCRAT,188928,2020,14.6,9.6,26,30.1,34.3
